Var1,NSGAII,ECNSGAII,PECNSGAII,SRNSGAII,DCMOEAD,ECMOEAD,PECMOEAD,SRCMOEAD,ANSGAIII,CTAEA,CMOEA_MS,ToP,CCMO,PPS,MOEADDAE
NSGAII_C1_DTLZ1_M2_D2_9.mat,0.003019660406854,0.00303495829426,0.002992692219624,0.002999506887164,0.002413180037271,0.002420920448197,0.002969730231776,0.003012775380305,0.002757357364481,0.002403718626004,0.00256452320021,0.422202065478918,0.002458270805054,0.003521806545566,0.00298873741365
NSGAII_C1_DTLZ3_M2_D2_9.mat,0.564815538966335,0.560560717350134,0.561680983403261,0.566419491678156,0.505050301235639,0.504307133719684,0.54672620477604,0.547126163451278,0.612609604892726,0.514755490161818,0.473414183313972,0.597137022831404,0.472651947496932,0.741710566698673,0.552113170391647
NSGAII_C2_DTLZ2_M2_D2_9.mat,0.731196150214448,0.7339467089773,0.736069566184114,0.735932675616647,0.58960216107849,0.589584045361151,0.691597121322269,0.698665887025198,0.638930544676869,0.601619451783225,0.598626740194021,0.768154240164164,0.598775113562938,0.864473074655798,0.6966912622197
NSGAII_C3_DTLZ4_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP1_10_M2_D2_9.mat,0,0,0,0,0,0.033333333333333,0.001222353532304,0,0,0,0,0,0,0,0
NSGAII_DASCMOP1_11_M2_D2_9.mat,0.653056158929137,0.635777719352677,0.639441612301322,0.636004491782432,0.669783826259964,0.696073867137879,0.676868074753348,0.661878424677299,0.696875591861865,0.633005547775553,0.725900578663091,0.643728484421009,0.618608351986204,0.617819043280451,0.623829795257807
NSGAII_DASCMOP1_12_M2_D2_9.mat,0.677296285512313,0.659533882529494,0.641888806360333,0.660542719839896,0.676604231441896,0.658747581751713,0.684646021789681,0.661039680841933,0.668223160828918,0.640709100949357,0.677137143537141,0.658813603440181,0.624059159093426,0.623495335534198,0.653466557879146
NSGAII_DASCMOP1_13_M2_D2_9.mat,0.619394192732194,0.644381451496301,0.602705694154961,0.65343785163527,0.655476729505545,0.669187069928205,0.637535099619782,0.661914585273242,0.627575241798636,0.602255565873477,0.686465648554309,0.610317051344452,0.58592773992072,0.585575172477432,0.591557046846003
NSGAII_DASCMOP1_14_M2_D2_9.mat,0.66623207157493,0.683322367565064,0.643238089653756,0.675928631674817,0.728715290290599,0.673928685461338,0.695834368627365,0.70925642340481,0.666100845360975,0.643012909997938,0.658880955573024,0.65695419181616,0.624257505818193,0.62340300157154,0.639026566157001
NSGAII_DASCMOP1_15_M2_D2_9.mat,0.746600073423258,0.784926403426805,0.726363694824866,0.797893467128799,0.822950407432782,0.803662936398673,0.759075329974712,0.776372811781172,0.784839365553372,0.732218086291707,0.803901775099005,0.726316144541611,0.708142532571671,0.70742004741998,0.756175783550277
NSGAII_DASCMOP1_1_M2_D2_9.mat,0.078387518472585,0.078954058756097,0.147735011281123,0.079382610993552,0.147494665725621,0.208257514186106,0.294043352827223,0.118683344460518,0.079698848130872,0.121505652906295,0.112164586573327,0.078116734515525,0.082315304236276,0.09255591568778,0.087546421059605
NSGAII_DASCMOP1_2_M2_D2_9.mat,0.050029652010425,0.018157172874087,0.07090964365238,0.045259286135668,0.141996375258592,0.118925659386549,0.203359665612556,0.018475798672788,0.014730958081394,0.065591119095412,0.052702213670229,0.012055578944322,0.015809831200659,0.022031595002711,0.024540518578695
NSGAII_DASCMOP1_3_M2_D2_9.mat,0.096838353058336,0.058853391146332,0.083850117739045,0.101469415703567,0.195526499540951,0.291268986678685,0.240643946720912,0.135123644839679,0.032781965294882,0.079400432849003,0.036591343222791,0.06300880171091,0.032649840660725,0.037116553548119,0.0421903024719
NSGAII_DASCMOP1_4_M2_D2_9.mat,0.054846943210325,0.054330155210435,0.084225431886456,0.085615773880548,0.213853680284448,0.15177542803619,0.295508255555688,0.058167104466312,0.086609571850157,0.07322524512051,0.087786520047486,0.021860394110622,0.025141808934768,0.030025121429685,0.034958492406382
NSGAII_DASCMOP1_5_M2_D2_9.mat,0.061091260404848,0.11112596313562,0.083077664797178,0.027227417546038,0.118093876979463,0.117504564159078,0.207807818573073,0.087308183658526,0.024837195712716,0.078121916809972,0.091770098881061,0.052672923862409,0.022809739615347,0.029353201990292,0.036119922577438
NSGAII_DASCMOP1_6_M2_D2_9.mat,0.002174887588602,0.002174505834874,0.011751148987107,0.002181853244275,0.002163939000259,0.002163595458986,0.169177317384621,0.002163364386767,0.002179142970042,0.014033743961012,0.002181379179574,0.002245335894734,0.002196585907897,0.010463562798483,0.123036567415064
NSGAII_DASCMOP1_7_M2_D2_9.mat,0,0,0.004558363364389,0,0,0,0.011765910710479,0,1.58056790416926E-06,0.003369096922521,0,0.000109200906069,8.06170607120878E-06,0.0005918554373,0.04127523083836
NSGAII_DASCMOP1_8_M2_D2_9.mat,0,0,9.16414079957379E-05,0,0,0,0.078384259777186,0,0,7.01085020446895E-06,0,0,0,0.030016087805395,0.011560835344394
NSGAII_DASCMOP1_9_M2_D2_9.mat,0,0,5.79012226600952E-06,0,0,0,0.014993039949631,0,0,0,0,0,0,6.03025884962077E-05,0.036929920557547
NSGAII_DASCMOP2_10_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP2_11_M2_D2_9.mat,0.673302889696145,0.670142765315171,0.664853430686884,0.661832833842987,0.683828785952195,0.700584030403136,0.750620992252333,0.693450595196994,0.670486307068972,0.660504385946482,0.700983418113864,0.653462670383517,0.653820944601489,0.6538461343361,0.666801886523511
NSGAII_DASCMOP2_12_M2_D2_9.mat,0.689606618451718,0.686693045802934,0.679652129157744,0.672461171936869,0.708637898513916,0.703105486211763,0.747057097390815,0.694996556567747,0.689568585502439,0.676270254695341,0.709406675258904,0.666652615381472,0.66695155758972,0.666758976495978,0.692445676051222
NSGAII_DASCMOP2_13_M2_D2_9.mat,0.653016927262402,0.639542677640173,0.635710370578236,0.66345927262464,0.672979193467727,0.644319075298338,0.723641689014217,0.657803669373604,0.655671630516515,0.63117352584171,0.668998040463041,0.623515858448221,0.623874015414824,0.623992669594097,0.661395301531204
NSGAII_DASCMOP2_14_M2_D2_9.mat,0.611533697250266,0.611508961329714,0.596630055378862,0.597472101476098,0.607190879831839,0.612449436446283,0.698224987126538,0.610634852620226,0.61301541585655,0.592799968108903,0.627317114150761,0.585032223944426,0.586845708405942,0.584495422515153,0.593916383270432
NSGAII_DASCMOP2_15_M2_D2_9.mat,0.677107014592639,0.68236587912305,0.659083264677776,0.669342211538848,0.691819794749758,0.696769523604915,0.764511302056956,0.675838265966482,0.667030822762348,0.660586830167818,0.692997949271422,0.651445084503857,0.652191858002084,0.651127793799148,0.681046782094423
NSGAII_DASCMOP2_1_M2_D2_9.mat,0.349168530654039,0.374559011941244,0.338250443405295,0.359044332560564,0.345026331192691,0.371312545149968,0.562001387661609,0.347109251573132,0.347398604058801,0.362143125052505,0.357103512526631,0.336068102221173,0.315420939207873,0.312897361226981,0.364821035312558
NSGAII_DASCMOP2_2_M2_D2_9.mat,0.250738107406881,0.25202941779242,0.324164165744491,0.250571233519465,0.285775413912567,0.263550319547858,0.539767155476602,0.248680296936356,0.248987528627147,0.340613797438956,0.245127732457136,0.246936217007452,0.25247178581493,0.250941746145363,0.327620815985043
NSGAII_DASCMOP2_3_M2_D2_9.mat,0.233902802043742,0.24198483594098,0.277307126631619,0.23722100128633,0.257905357263476,0.292777133405038,0.481441457147987,0.22765557077307,0.231668123236543,0.300562875534672,0.227355537113309,0.21098103948024,0.227969661076887,0.214972935916759,0.298787362854905
NSGAII_DASCMOP2_4_M2_D2_9.mat,0.253971086271295,0.22725538516261,0.300405324260094,0.229964297850564,0.276628973069043,0.276559567345982,0.492534481673102,0.228257994438635,0.235118653956921,0.305925080306296,0.232740301776371,0.223493755294204,0.228188265974732,0.228266773385813,0.297642854880309
