Instances,Source,feature_D,feature_C,feature_fsr,feature_po_n,feature_upo_n,feature_cpo_upo_n,feature_GD_cpo_upo,feature_cover_cpo_upo,feature_uhv,feature_hv,feature_hv_uhv_n,feature_corr_obj,feature_corr_cobj_min,feature_corr_cobj_max,feature_corr_cf,feature_piz_ob_min,feature_piz_ob_max,feature_piz_f,feature_ps_dist_max,feature_ps_dist_mean,feature_ps_dist_iqr_mean,feature_pf_dist_max,feature_pf_dist_mean,feature_pf_dist_iqr_mean,feature_dist_c_corr,feature_mean_f,feature_std_f,feature_max_f,feature_skew_f,feature_kurt_f,feature_kurt_avg,feature_kurt_min,feature_kurt_max,feature_kurt_rnge,feature_skew_avg,feature_skew_min,feature_skew_max,feature_skew_rnge,feature_min_cv,feature_skew_cv,feature_kurt_cv,feature_f_mdl_r2,feature_f_range_coeff,feature_pop_cv_mdl_r2,feature_pop_cv_range_coeff,feature_sup_avg_rws,feature_inf_avg_rws,feature_inc_avg_rws,feature_lnd_avg_rws,feature_dist_x_avg_rws,feature_dist_f_avg_rws,feature_dist_c_avg_rws,feature_dist_f_c_avg_rws,feature_dist_f_dist_x_avg_rws,feature_dist_c_dist_x_avg_rws,feature_dist_f_c_dist_x_avg_rws,feature_nhv_avg_rws,feature_nuhv_avg_rws,feature_nfronts_avg_rws,feature_ncv_avg_rws,feature_nncv_avg_rws,feature_bncv_avg_rws,feature_bhv_avg_rws,feature_sup_r1_rws,feature_inf_r1_rws,feature_inc_r1_rws,feature_lnd_r1_rws,feature_dist_x_r1_rws,feature_dist_f_r1_rws,feature_dist_c_r1_rws,feature_dist_f_c_r1_rws,feature_dist_f_dist_x_r1_rws,feature_dist_c_dist_x_r1_rws,feature_dist_f_c_dist_x_r1_rws,feature_nhv_r1_rws,feature_nuhv_r1_rws,feature_nfronts_r1_rws,feature_ncv_r1_rws,feature_nncv_r1_rws,feature_bncv_r1_rws,feature_bhv_r1_rws,feature_rfbx_rws
C1_DTLZ1,C_DTLZ,2,1,1.67E-05,0.0005,0.003,0.193439153,0,0.193439153,0.01596844,0.01596844,0.133333333,0.414310889,0.580660227,0.981461747,0.796867329,0.160775,0.160833333,0.099408333,0,0,0,0,0,0,0.018717245,53.19251667,28.71450416,106.2666667,-0.012826666,1.821351485,4.083332803,1.675765593,6.490900013,4.81513442,0.88675546,0.15674215,1.616768771,1.460026622,1.048308563,0.043019221,1.523572599,0.151605413,128.3191442,0.002252299,21.70534935,0.471666667,0.528333333,0,0.211208333,0.064855381,27.37801211,59.65622363,65.80742437,487.6965132,1060.970022,1170.167928,1.38E-05,4.25E-05,5,110.8688991,108.6906271,35.44314354,4.25E-05,-0.011436336,-0.011436336,0,-0.004442763,0.011132404,0.002926717,-0.004223599,-0.003961683,0.008652478,-0.000738552,0.000563942,-8.38E-05,0.013621911,0,-0.001600964,-0.007083006,0.001608927,0.013621911,0
C1_DTLZ3,C_DTLZ,2,1,0.899,0.0037,0.003816667,0.976828264,0.063495917,0.955902338,0.046853198,0.046853198,0.866666667,0.519791803,-0.301123871,-0.183242405,-0.209073689,0.117766667,0.334558333,0.119558333,0.503239943,0.194715227,0.184154287,7.38539646,2.045006638,1.250439526,0.012802262,52.45918333,29.48646304,109.4666667,0.077461512,1.843186003,3.252919851,1.547049471,4.95879023,3.411740759,0.735451955,0.063015233,1.407888676,1.344873443,0,3.330233809,12.75780642,0.188546476,145.1592217,0.002164932,9.719914506,0.409291667,0.476,0.114708333,0.294333333,0.064855381,6.299146741,9.570680599,14.83829161,111.2481525,175.7784669,268.4306743,0.000147437,0.000147437,3.904916667,6.592494368,6.571263566,0.005166032,0.000147437,-0.000452333,-0.008068588,0.010711487,0.002022064,0.011132404,-0.006420248,-0.006846054,-0.009790882,-0.003296583,-0.005547614,-0.007761694,0.022949085,0.022949085,0.013281324,-0.004764199,-0.005400866,-8.38E-05,0.022949085,0.183666667
C2_DTLZ2,C_DTLZ,2,1,0.999866667,0.0161,0.0161,1,0,1,0.242591648,0.242591648,1,-0.555364964,0,0,0.008337432,0.002941667,0.245091667,0.165216667,0.773446495,0.2516554,0.208291281,1.060343142,0.333171708,0.343857667,0.007102085,26.84466667,16.26048047,63.83333333,0.27842477,2.034223162,5.250078396,3.002330952,7.49782584,4.495494888,-0.220573131,-1.028648812,0.58750255,1.616151362,0,8.513072342,368.1212721,0.606244212,137.0751194,0.000147832,2.96E-06,0.2295,0.366020833,0.404479167,0.6061875,0.064855381,0.083045109,2.05E-07,0.083045112,1.292383718,5.04E-06,1.292383823,0.041865436,0.041865436,2.421583333,2.55E-07,1.28E-07,0,0.041865436,0.010083758,0.021784347,0.015580867,0.009897866,0.011132404,0.004441559,-0.000605006,0.00444158,0.039736504,-0.000555326,0.039736594,0.157000228,0.157000228,0.003197876,-0.000167502,-0.000605006,0,0.157000228,0.000333333
C3_DTLZ4,C_DTLZ,2,2,0,0.0005,0.014066667,0.037094108,0.184866119,0,0.820365719,0.361778628,0.441001724,-0.837069016,-0.63902982,0.160013119,-0.065683058,0,0,0.00355,0,0,0,0,0,0,0.49130999,34.61761667,20.11709512,81.16666667,0.177588682,2.091871276,18.86392314,15.18668403,22.54116226,7.354478231,-0.197986133,-3.96241682,3.566444554,7.528861375,0.076316284,-3.299215506,18.36082906,0.530684031,44.5167764,0.317655981,0.134808018,0.4891875,0.5108125,0,0.230895833,0.064855381,0.099559942,0.031990831,0.106602883,1.945001499,0.611144968,2.078813869,0,0.52239093,5,0.661253915,0.659701344,0.610355727,0.455470537,-0.007106231,-0.007106231,0,0.000126335,0.011132404,0.026553624,0.017244079,0.026015268,0.018293044,0.014099948,0.017773007,0,0.034693502,0,0.033117858,0.071950878,0.041216643,0.110868736,0
DASCMOP1_10,DASCMOP1,2,11,0.002116667,0.001033333,0.1671,0.0061771,0.163182963,0.000402811,0.623403763,0.285416587,0.458754474,-0.824876964,0.001329374,0.009312063,0.019244736,0.019625,0.117833333,0.185333333,0.188529076,0.084147711,0.132494186,0.218867682,0.095604879,0.148810175,0.003345547,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.004547743,0.650732325,1.777112538,0.823464417,99.1869323,0.001105472,0.141539353,0.501916667,0.4976875,0.000395833,0.204895833,0.064855381,0.085329958,0.291103171,0.325029664,1.319920464,5.289371823,5.79013109,0.000953404,0.419570004,4.997333333,0.387392192,0.390262152,0.100553227,0.370943172,-0.00481138,-0.005069021,0.036691112,0.000410798,0.011132404,-0.003874012,-3.02E-05,-0.007620301,-0.019431102,0.019936485,0.018484563,0.210510685,0.164466371,0.094676972,-0.002846849,0.000130953,0.004591989,0.277586304,0.002166667
DASCMOP1_11,DASCMOP1,2,11,0,0.0005,0.1671,0.003003733,0.429078433,0,0.623403763,0.17297841,0.277272166,-0.824876964,-0.347516007,0.036802404,-0.379197358,0.000166667,0.000575,0.000325,0,0,0,0,0,0,0.384514565,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.673168006,-0.184428327,5.147093481,0.823464417,99.1869323,0.246027403,0.304093879,0.46275,0.53725,0,0.2228125,0.064855381,0.085329958,0.097899014,0.141582696,1.319920464,1.667400013,2.315087351,0,0.419570004,5,1.450170798,1.440481638,1.340416379,0.365909927,-0.059323469,-0.059323469,0,-0.0256315,0.011132404,-0.003874012,0.030072545,0.024143808,-0.019431102,0.004463195,0.009627041,0,0.164466371,0,0.059736985,0.162208962,0.237821814,0.250252268,0
DASCMOP1_12,DASCMOP1,2,11,0,0.0005,0.1671,0.003003733,0.440304791,0,0.623403763,0.171499933,0.275382258,-0.824876964,-0.296104461,-0.012911018,-0.385513011,0.000133333,0.000491667,0.000266667,0,0,0,0,0,0,0.396374903,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.676951808,-0.150803716,5.394347763,0.823464417,99.1869323,0.233529589,0.382777472,0.48075,0.51925,0,0.215291667,0.064855381,0.085329958,0.104280537,0.149875601,1.319920464,1.825671049,2.499897267,0,0.419570004,5,1.438828788,1.432913917,1.333327734,0.36534941,-0.042193484,-0.042193484,0,-0.022642493,0.011132404,-0.003874012,0.009459979,0.008195472,-0.019431102,-0.007010136,-0.00646573,0,0.164466371,0,0.094209197,0.217071367,0.267106178,0.264368262,0
DASCMOP1_13,DASCMOP1,2,11,0,0.0005,0.1671,0.003003733,0.440767775,0,0.623403763,0.16907243,0.271776306,-0.824876964,-0.268437586,-0.037313931,-0.393739352,7.50E-05,0.000475,0.0002,0,0,0,0,0,0,0.410797974,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.686963129,-0.088417985,4.982540832,0.823464417,99.1869323,0.224098546,0.419762691,0.481958333,0.518041667,0,0.213458333,0.064855381,0.085329958,0.106119904,0.152399638,1.319920464,1.877878666,2.565563248,0,0.419570004,5,1.439008913,1.432377399,1.332422667,0.365323043,-0.036020778,-0.036020778,0,0.000811574,0.011132404,-0.003874012,0.012713921,0.020106355,-0.019431102,-0.005433733,0.001876016,0,0.164466371,0,0.071152632,0.184039409,0.24892214,0.249400907,0
DASCMOP1_14,DASCMOP1,2,11,0,0.0005,0.1671,0.003003733,0.453172827,0,0.623403763,0.165070441,0.265903329,-0.824876964,-0.264963732,-0.0418818,-0.39438363,0.000158333,0.0006,0.000258333,0,0,0,0,0,0,0.396326623,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.676006695,-0.122696771,5.237529651,0.823464417,99.1869323,0.22574448,0.424750698,0.485895833,0.514104167,0,0.211354167,0.064855381,0.085329958,0.106955756,0.153435617,1.319920464,1.892018324,2.58514834,0,0.419570004,5,1.437878814,1.431316715,1.331418935,0.365121958,-0.003922201,-0.003922201,0,0.008576637,0.011132404,-0.003874012,0.035766445,0.034818808,-0.019431102,0.006961213,0.008851258,0,0.164466371,0,0.108910529,0.210202049,0.259822184,0.255983705,0
DASCMOP1_15,DASCMOP1,2,11,0,0.0005,0.1671,0.003003733,0.459418295,0,0.623403763,0.162925207,0.262520512,-0.824876964,-0.260064685,-0.042034681,-0.398659072,0.00015,0.000716667,0.000275,0,0,0,0,0,0,0.383860517,9.369416667,8.546260638,40.1,1.127737767,3.581360881,4.189804052,3.034825132,5.344782972,2.30995784,0.122176229,-0.370159687,0.614512145,0.984671832,0.662721541,-0.129413665,5.32535363,0.823464417,99.1869323,0.230269303,0.440748115,0.4866875,0.5133125,0,0.2108125,0.064855381,0.085329958,0.106478034,0.153095942,1.319920464,1.888350787,2.584078352,0,0.419570004,5,1.436216129,1.430259204,1.331470789,0.365230247,0.000775063,0.000775063,0,0.007546373,0.011132404,-0.003874012,0.01958519,0.00473045,-0.019431102,0.010401448,0.00503273,0,0.164466371,0,0.10176681,0.215670867,0.262903259,0.262183298,0
